file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,desativarAtivos/1[java.lang.Long],false,14,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,"findByPessoa/3[java.lang.Long,java.time.LocalDate,br.ufrn.ePET.repository.Pageable]",false,25,4,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,"findByPessoaConcluida/3[java.lang.Long,java.time.LocalDate,br.ufrn.ePET.repository.Pageable]",false,28,4,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,"findByPessoaPetiano/2[java.lang.Long,br.ufrn.ePET.repository.Pageable]",false,31,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,"findByPessoaPetianoConfirmada/3[java.lang.Long,java.time.LocalDate,br.ufrn.ePET.repository.Pageable]",false,34,4,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,"findByTutoria/2[java.lang.Long,br.ufrn.ePET.repository.Pageable]",false,46,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,"findByPessoaPetianoConcluida/3[java.lang.Long,java.time.LocalDate,br.ufrn.ePET.repository.Pageable]",false,37,4,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,"findByPessoaPetianoInativa/2[java.lang.Long,br.ufrn.ePET.repository.Pageable]",false,40,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,desativarAtivosPorPetiano/1[java.lang.Long],false,18,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Tutoria_Ministrada_Repository.java,br.ufrn.ePET.repository.Tutoria_Ministrada_Repository,"findByPessoaInativa/2[java.lang.Long,br.ufrn.ePET.repository.Pageable]",false,43,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,false
